Company Name,Ticker,Industry,Year,Revenue,Cost of Sales / COGS,Gross Profit,Operating Profit / EBIT,EBITDA,Interest Expense,Net Income,Cash & Cash Equivalents,Accounts Receivable,Inventory,Current Assets,Total Assets,Current Liabilities,Total Liabilities,Short-Term Debt,Long-Term Debt,Total Debt,Total Equity,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Capital Expenditure
"Pepsico, Inc.",PEP,Beverages - Non-Alcoholic,2024,91854000000.00,41744000000.00,50110000000.00,12920000000.00,16680000000.00,919000000.00,9578000000.00,8505000000.00,10333000000.00,5306000000.00,25826000000.00,99467000000.00,31536000000.00,81296000000.00,7082000000.00,37224000000.00,44306000000.00,18041000000.00,12507000000.00,-5472000000.00,-7556000000.00,-5318000000.00
"Pepsico, Inc.",PEP,Beverages - Non-Alcoholic,2025,93925000000.00,43066000000.00,50859000000.00,13491000000.00,15543000000.00,1121000000.00,8240000000.00,9159000000.00,11506000000.00,5845000000.00,27949000000.00,107399000000.00,32764000000.00,86852000000.00,6861000000.00,42321000000.00,49182000000.00,20406000000.00,12087000000.00,-6879000000.00,-4979000000.00,-4415000000.00
Procter & Gamble Company (The),PG,Household & Personal Products,2023,82006000000.00,42760000000.00,39246000000.00,18134000000.00,21823000000.00,756000000.00,14653000000.00,8246000000.00,5471000000.00,7073000000.00,22648000000.00,120829000000.00,35756000000.00,73764000000.00,10229000000.00,24378000000.00,34607000000.00,46777000000.00,16848000000.00,-3500000000.00,-12146000000.00,-3062000000.00
Procter & Gamble Company (The),PG,Household & Personal Products,2024,84039000000.00,40848000000.00,43191000000.00,19886000000.00,22582000000.00,925000000.00,14879000000.00,9482000000.00,6118000000.00,7016000000.00,24709000000.00,122370000000.00,33627000000.00,71812000000.00,7191000000.00,25269000000.00,32460000000.00,50286000000.00,19846000000.00,-3504000000.00,-14855000000.00,-3322000000.00
Procter & Gamble Company (The),PG,Household & Personal Products,2025,84284000000.00,41164000000.00,43120000000.00,20451000000.00,23921000000.00,907000000.00,15974000000.00,9556000000.00,6185000000.00,7551000000.00,25392000000.00,125231000000.00,36058000000.00,72947000000.00,9512000000.00,24995000000.00,34507000000.00,52012000000.00,17817000000.00,-3818000000.00,-14036000000.00,-3773000000.00
Thermo Fisher Scientific Inc,TMO,Diagnostics & Research,2023,42857000000.00,25757000000.00,17100000000.00,7318000000.00,11079000000.00,1375000000.00,5995000000.00,8077000000.00,9664000000.00,5088000000.00,24589000000.00,98726000000.00,14012000000.00,51884000000.00,3609000000.00,31308000000.00,34917000000.00,46735000000.00,8406000000.00,-5142000000.00,-3622000000.00,-1479000000.00
Thermo Fisher Scientific Inc,TMO,Diagnostics & Research,2024,42879000000.00,25177000000.00,17702000000.00,7717000000.00,11535000000.00,1390000000.00,6335000000.00,4009000000.00,9626000000.00,4978000000.00,22137000000.00,97321000000.00,13332000000.00,47649000000.00,2214000000.00,29061000000.00,31275000000.00,49585000000.00,8667000000.00,-5841000000.00,-6792000000.00,-1400000000.00
Thermo Fisher Scientific Inc,TMO,Diagnostics & Research,2025,44557000000.00,26318000000.00,18239000000.00,8110000000.00,11507000000.00,1419000000.00,6704000000.00,9852000000.00,10566000000.00,5425000000.00,28707000000.00,110343000000.00,15189000000.00,56807000000.00,3533000000.00,35852000000.00,39385000000.00,53407000000.00,7818000000.00,-4047000000.00,1801000000.00,-1525000000.00
Visa Inc.,V,Credit Services,2023,32653000000.00,6567000000.00,26086000000.00,21927000000.00,22624000000.00,644000000.00,17273000000.00,16286000000.00,4474000000.00,0.00,33532000000.00,90499000000.00,23098000000.00,51766000000.00,0.00,20463000000.00,20463000000.00,38733000000.00,20755000000.00,-2006000000.00,-17772000000.00,-1059000000.00
Visa Inc.,V,Credit Services,2024,35926000000.00,7042000000.00,28884000000.00,24057000000.00,25591000000.00,641000000.00,19743000000.00,11975000000.00,7015000000.00,0.00,34033000000.00,94511000000.00,26517000000.00,55374000000.00,0.00,20836000000.00,20836000000.00,39137000000.00,19950000000.00,-1926000000.00,-20633000000.00,-1257000000.00
Visa Inc.,V,Credit Services,2025,40000000000.00,7855000000.00,32145000000.00,26556000000.00,26003000000.00,589000000.00,20058000000.00,17164000000.00,7317000000.00,0.00,37766000000.00,99627000000.00,35048000000.00,61718000000.00,5569000000.00,19602000000.00,25171000000.00,37909000000.00,23059000000.00,708000000.00,-18963000000.00,-1482000000.00
Walmart Inc.,WMT,Discount Stores,2023,611289000000.00,463721000000.00,147568000000.00,20428000000.00,30089000000.00,2128000000.00,11680000000.00,8625000000.00,7933000000.00,56576000000.00,75655000000.00,243197000000.00,92198000000.00,159206000000.00,4563000000.00,34649000000.00,39212000000.00,76693000000.00,28841000000.00,-17722000000.00,-17039000000.00,-16857000000.00
Walmart Inc.,WMT,Discount Stores,2024,648125000000.00,490142000000.00,157983000000.00,27012000000.00,36384000000.00,2683000000.00,15511000000.00,9867000000.00,8796000000.00,54892000000.00,76877000000.00,252399000000.00,92415000000.00,161828000000.00,4325000000.00,36132000000.00,40457000000.00,83861000000.00,35726000000.00,-21287000000.00,-13414000000.00,-20606000000.00
Walmart Inc.,WMT,Discount Stores,2025,680985000000.00,511753000000.00,169232000000.00,29348000000.00,42010000000.00,2728000000.00,19436000000.00,9037000000.00,9975000000.00,56435000000.00,79458000000.00,260823000000.00,96584000000.00,163131000000.00,5666000000.00,33401000000.00,39067000000.00,91013000000.00,36443000000.00,-21379000000.00,-14822000000.00,-23783000000.00
