Company Name,Ticker,Industry,Year,Revenue,Cost of Sales / COGS,Gross Profit,Operating Profit / EBIT,EBITDA,Interest Expense,Net Income,Cash & Cash Equivalents,Accounts Receivable,Inventory,Current Assets,Total Assets,Current Liabilities,Total Liabilities,Short-Term Debt,Long-Term Debt,Total Debt,Total Equity,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Capital Expenditure,Distress Status,Distress Event,Distress Event Year
GameStop Corporation,GME,Specialty Retail,2024,5272800000.0,3978600000.0,1294200000.0,-29700000.0,26500000.0,,6700000.0,921700000.0,91000000.0,632500000.0,1974200000.0,2709000000.0,934500000.0,1370400000.0,10800000.0,17700000.0,28500000.0,1338600000.0,-203700000.0,-33200000.0,-11600000.0,-34900000.0,,,
GameStop Corporation,GME,Specialty Retail,2025,3823000000.0,2709100000.0,1113900000.0,-16500000.0,22400000.0,,131300000.0,4756900000.0,60900000.0,480200000.0,5355000000.0,5875400000.0,665400000.0,945600000.0,10300000.0,6600000.0,16900000.0,4929800000.0,145700000.0,265100000.0,3443000000.0,-16100000.0,,,
Alphabet Inc.,GOOGL,Internet Content & Information,2023,307394000000.0,133332000000.0,174062000000.0,84293000000.0,97971000000.0,308000000.0,73795000000.0,24048000000.0,47964000000.0,0.0,171530000000.0,402392000000.0,81814000000.0,,2791000000.0,11870000000.0,14661000000.0,283379000000.0,101746000000.0,-27063000000.0,-72093000000.0,-32251000000.0,0.0,,
Alphabet Inc.,GOOGL,Internet Content & Information,2024,350018000000.0,146306000000.0,203712000000.0,112390000000.0,135394000000.0,268000000.0,100118000000.0,23466000000.0,52340000000.0,0.0,163711000000.0,450256000000.0,89122000000.0,,2887000000.0,10883000000.0,13770000000.0,325084000000.0,125299000000.0,-45536000000.0,-79733000000.0,-52535000000.0,0.0,,
Alphabet Inc.,GOOGL,Internet Content & Information,2025,402836000000.0,162535000000.0,240301000000.0,129039000000.0,180698000000.0,736000000.0,132170000000.0,30708000000.0,62886000000.0,0.0,206038000000.0,595281000000.0,102745000000.0,,0.0,46547000000.0,46547000000.0,415265000000.0,164713000000.0,-120291000000.0,-37388000000.0,-91447000000.0,0.0,,
"GoPro, Inc.",GPRO,Consumer Electronics,2023,1005459000.0,681886000.0,323573000.0,-74500000.0,-56874000.0,4699000.0,-53183000.0,222708000.0,91452000.0,106266000.0,482591000.0,967951000.0,279094000.0,412105000.0,10520000.0,92615000.0,103135000.0,555846000.0,-32863000.0,121902000.0,-90382000.0,-1520000.0,1.0,Operational Restructuring & Workforce Reductions,2024.0
"GoPro, Inc.",GPRO,Consumer Electronics,2024,801473000.0,530178000.0,271295000.0,-127172000.0,-123269000.0,3329000.0,-432311000.0,102811000.0,85944000.0,120716000.0,339245000.0,543678000.0,356267000.0,391989000.0,93208000.0,18067000.0,111275000.0,151689000.0,-125141000.0,7653000.0,-929000.0,-4039000.0,1.0,Operational Restructuring & Workforce Reductions,2024.0
"GoPro, Inc.",GPRO,Consumer Electronics,2025,651542000.0,432376000.0,219166000.0,-62119000.0,-75931000.0,8452000.0,-93487000.0,49674000.0,93513000.0,78431000.0,252569000.0,427983000.0,277171000.0,351433000.0,19598000.0,44322000.0,63920000.0,76550000.0,-20669000.0,-3362000.0,-30112000.0,-3362000.0,0.0,,
"Home Depot, Inc. (The)",HD,Home Improvement Retail,2023,157403000000.0,104625000000.0,52778000000.0,24039000000.0,27069000000.0,1617000000.0,17105000000.0,2757000000.0,3317000000.0,24886000000.0,32471000000.0,76445000000.0,23110000000.0,74883000000.0,1231000000.0,41962000000.0,43193000000.0,1562000000.0,14615000000.0,-3140000000.0,-10993000000.0,-3119000000.0,0.0,,
"Home Depot, Inc. (The)",HD,Home Improvement Retail,2024,152669000000.0,101709000000.0,50960000000.0,21689000000.0,25114000000.0,1943000000.0,15143000000.0,3760000000.0,3328000000.0,20976000000.0,29775000000.0,76530000000.0,22015000000.0,75486000000.0,1368000000.0,42743000000.0,44111000000.0,1044000000.0,21172000000.0,-4729000000.0,-15443000000.0,-3226000000.0,0.0,,
